,Compound Key,Smiles,SMILES,doi,Document ChEMBL ID,WT,L858R,L858R/T790M,L858R/T790M/C797S
0,2h,[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1021/acs.jmedchem.0c02005,CHEMBL4732150,1,1,1,-1
1,79,C#Cc1cc(F)c2c(c1)C(=O)N(C(CC#CC#Cc1c(C(N)=O)cnc3[nH]ccc13)c1cc(F)ccc1F)C2,C#Cc1cc(F)c2c(c1)C(=O)N(C(CC#CC#Cc1c(C(N)=O)cnc3[nH]ccc13)c1cc(F)ccc1F)C2,,23,-1,1,1,1
2,78,C#Cc1cc(F)c2c(c1)CN(C(CC#CC#Cc1c(C(N)=O)cnc3[nH]ccc13)c1cc(F)ccc1F)C2=O,C#Cc1cc(F)c2c(c1)CN(C(CC#CC#Cc1c(C(N)=O)cnc3[nH]ccc13)c1cc(F)ccc1F)C2=O,,23,-1,-1,-1,0
3,56,C#Cc1ccc(C(CC#CC#Cc2c(C(N)=O)cnc3[nH]ccc23)c2cc(F)ccc2F)c(=O)n1C,C#Cc1ccc(C(CC#CC#Cc2c(C(N)=O)cnc3[nH]ccc23)c2cc(F)ccc2F)c(=O)n1C,,23,-1,-1,-1,0
4,4b,C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,10.1021/jm901877j,CHEMBL1156950,1,1,0,0
5,4a,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,10.1021/jm901877j,CHEMBL1156950,1,1,0,0
6,8--12,C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,,CHEMBL3638579,1,1,0,0
7,8--46,C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C2CCCC2)c1,C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C2CCCC2)c1,,CHEMBL3638579,1,1,1,-1
8,4c,C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,10.1021/jm901877j,CHEMBL1156950,1,1,1,-1
9,Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,10.1021/jm901877j,CHEMBL1156950,1,1,0,0
10,1p,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,0,-1,0,0
11,1h,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,1,1,1,-1
12,1o,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(CC)CC)CCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(CC)CC)CCCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,0,0,0,0
13,1e,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(CC)CC)CCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(CC)CC)CCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,1,1,1,-1
14,1k,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,0,0,0,0
15,1c,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,1,1,1,-1
16,1n,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,0,-1,0,0
17,1b,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,1,1,1,-1
18,1m,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2)CCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2)CCCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,0,0,0,0
19,1f,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2)CCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2)CCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,1,1,1,-1
20,1l,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,0,0,0,0
21,1d,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,1,-1,0,0
22,1j,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,0,0,0,0
23,1g,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,1,-1,0,0
24,1i,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,0,0,0,0
25,1a,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCO4)c1,10.1016/j.bmcl.2013.12.079,CHEMBL3112407,1,1,1,-1
26,icotinib,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,,,1,0,0,0
27,12e,C#Cc1cccc(Nc2ncnc3ccc(-c4cnn(C)c4)cc23)c1,C#Cc1cccc(Nc2ncnc3ccc(-c4cnn(C)c4)cc23)c1,10.1016/j.ejmech.2016.04.026,CHEMBL3826970,1,1,0,0
28,8,C#Cc1cnc(Nc2ccc(N3CCC4(CCN(C)CC4)CC3)c(C)c2)nc1Nc1ccccc1P(C)(C)=O,C#Cc1cnc(Nc2ccc(N3CCC4(CCN(C)CC4)CC3)c(C)c2)nc1Nc1ccccc1P(C)(C)=O,0,378,1,1,1,-1
29,7,C#Cc1cnn2ccc(C(N)=O)c(C#CC#CCC(O)(c3cc(F)cc(F)c3)c3cccn(C)c3=O)c12,C#Cc1cnn2ccc(C(N)=O)c(C#CC#CCC(O)(c3cc(F)cc(F)c3)c3cccn(C)c3=O)c12,,23,-1,-1,-1,0
30,1c,C#Cc1nn([C@@H]2CCCN(C(=O)C=C)C2)c2ncnc(N)c12,C#Cc1nn([C@@H]2CCCN(C(=O)C=C)C2)c2ncnc(N)c12,10.1021/acs.jmedchem.7b00515,CHEMBL4038351,0,1,1,-1
31,23,C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,10.1021/acs.jmedchem.5b01633,CHEMBL3785081,0,1,1,-1
32,7u,C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2021.113984,CHEMBL5046228,1,1,1,-1
33,7m,C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2021.113984,CHEMBL5046228,0,1,1,-1
34,13a,C#CCN(CCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,C#CCN(CCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2022.114509,CHEMBL5113438,0,1,1,-1
35,13b,C#CCN(CCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,C#CCN(CCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2022.114509,CHEMBL5113438,0,1,1,-1
36,13c,C#CCN(CCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,C#CCN(CCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2022.114509,CHEMBL5113438,0,-1,0,0
37,13d,C#CCN(CCCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,C#CCN(CCCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2022.114509,CHEMBL5113438,0,0,0,0
38,13e,C#CCN(CCCCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,C#CCN(CCCCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2022.114509,CHEMBL5113438,0,-1,0,0
39,13f,C#CCN(CCCCCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,C#CCN(CCCCCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2022.114509,CHEMBL5113438,0,-1,0,0
40,13g,C#CCN(CCCCCCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,C#CCN(CCCCCCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2022.114509,CHEMBL5113438,0,0,0,0
41,13h,C#CCN(CCCCCCCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,C#CCN(CCCCCCCCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,10.1016/j.ejmech.2022.114509,CHEMBL5113438,0,0,0,0
42,5; XO44,C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,10.1016/j.ejmech.2021.113786,CHEMBL4828755,-1,1,1,1
43,9a,C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,10.1016/j.bmc.2013.09.049,CHEMBL3091333,1,1,1,-1
44,22,C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,10.1021/acs.jmedchem.5b01633,CHEMBL3785081,1,1,1,-1
45,15j,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccc(C)cc1,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccc(C)cc1,10.1016/j.ejmech.2015.09.031,CHEMBL3739350,0,-1,0,0
46,15h,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccc(F)cc1,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccc(F)cc1,10.1016/j.ejmech.2015.09.031,CHEMBL3739350,0,0,0,0
47,15i,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccc(F)cc1F,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccc(F)cc1F,10.1016/j.ejmech.2015.09.031,CHEMBL3739350,0,1,1,-1
48,15m,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccccn1,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccccn1,10.1016/j.ejmech.2015.09.031,CHEMBL3739350,0,0,0,0
49,15n,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1cccnc1,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1cccnc1,10.1016/j.ejmech.2015.09.031,CHEMBL3739350,0,0,0,0
50,15o,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccncc1,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccncc1,10.1016/j.ejmech.2015.09.031,CHEMBL3739350,0,0,0,0
51,8m,C/C=C(\C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,C/C=C(\C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,10.1016/j.bmc.2014.01.035,CHEMBL3233010,0,0,0,0
52,A19,C/C=C/C(=O)Nc1cc(Nc2ncc(Cl)c(N3CCc4sccc4C3)n2)c(OC)cc1N(C)CCN(C)C,C/C=C/C(=O)Nc1cc(Nc2ncc(Cl)c(N3CCc4sccc4C3)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2021.113845,CHEMBL5036341,1,1,1,-1
53,11,C/C=C/C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c2c(cnn2CCN(C)C)c1,C/C=C/C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c2c(cnn2CCN(C)C)c1,,31,-1,-1,-1,0
54,2,C/C=C/C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc2cnn(CCN(C)C)c12,C/C=C/C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc2cnn(CCN(C)C)c12,,31,-1,1,1,1
55,73,C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,10.1021/acs.jmedchem.9b00722,CHEMBL4414600,1,0,0,0
56,14b,C/C=C/C(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)nc3c2CSCC3)c1,C/C=C/C(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)nc3c2CSCC3)c1,10.1016/j.bmc.2020.115669,CHEMBL4725402,0,0,0,0
57,1b,C/C=C/c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OCCCN4CCOCC4)cc23)cc1,C/C=C/c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OCCCN4CCOCC4)cc23)cc1,10.1016/j.ejmech.2018.01.090,CHEMBL4145533,1,1,0,0
58,16d,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2018.11.069,CHEMBL4411272,1,1,1,-1
59,14,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)CC)c4ccccc34)n2)cc2cnn(CCN(C)C)c12,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)CC)c4ccccc34)n2)cc2cnn(CCN(C)C)c12,,31,-1,1,1,1
60,28,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)CC)c4ccccc34)n2)cc2cnn(CCN(CC)CC)c12,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)CC)c4ccccc34)n2)cc2cnn(CCN(CC)CC)c12,,31,-1,1,1,1
61,6ao,C[C@@H](NC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2)cc1)C(N)=O,C[C@@H](NC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2)cc1)C(N)=O,10.1016/j.ejmech.2021.114055,CHEMBL5046253,0,1,1,0
62,R-24,C[C@@H](Nc1ncnc2sc3c(c12)CCN(C(=O)/C=C/CN(C)C)C3)c1ccccc1,C[C@@H](Nc1ncnc2sc3c(c12)CCN(C(=O)/C=C/CN(C)C)C3)c1ccccc1,10.1021/jm100607r,CHEMBL1269003,1,1,1,-1
63,42,C[C@@H](O)c1nc2cnc(Nc3ccnc(N4CC[C@H](O)[C@H](F)C4)n3)cc2n1[C@H](C)C(F)(F)F,C[C@@H](O)c1nc2cnc(Nc3ccnc(N4CC[C@H](O)[C@H](F)C4)n3)cc2n1[C@H](C)C(F)(F)F,10.1021/acs.jmedchem.5b01412,CHEMBL3734664,1,1,1,-1
64,Crizotinib,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,10.1021/ml4003309,CHEMBL3259680,0,0,0,0
65,OSI-906,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,10.1021/ml4003309,CHEMBL3259680,0,0,0,0
66,14,C=C(C)C(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)cnc3N)nc3ccccc32)c1,C=C(C)C(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)cnc3N)nc3ccccc32)c1,10.1021/acsmedchemlett.6b00058,CHEMBL3813644,0,0,0,0
67,3,C=C(C)c1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)ccc1N1CCC2(CCN(C)CC2)CC1,C=C(C)c1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)ccc1N1CCC2(CCN(C)CC2)CC1,0,378,1,1,1,-1
68,17,C=C(C)c1cnc(Nc2ccc(N3CCC4(CCN(C)CC4)CC3)c(C)c2)nc1Nc1ccccc1P(C)(C)=O,C=C(C)c1cnc(Nc2ccc(N3CCC4(CCN(C)CC4)CC3)c(C)c2)nc1Nc1ccccc1P(C)(C)=O,0,378,1,1,1,-1
69,18b,C=C(Cl)C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=C(Cl)C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2018.11.069,CHEMBL4411272,1,1,1,-1
70,23b,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2019.111809,CHEMBL4312015,1,1,1,-1
71,22b,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2019.111809,CHEMBL4312015,1,1,1,-1
72,17b,C=C(Cl)C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=C(Cl)C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2018.11.069,CHEMBL4411272,1,1,1,-1
73,A20,C=C(Cl)C(=O)Nc1cc(Nc2ncc(Cl)c(N3CCc4sccc4C3)n2)c(OC)cc1N(C)CCN(C)C,C=C(Cl)C(=O)Nc1cc(Nc2ncc(Cl)c(N3CCc4sccc4C3)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2021.113845,CHEMBL5036341,1,1,1,1
74,16b,C=C(Cl)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=C(Cl)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2018.11.069,CHEMBL4411272,1,1,1,-1
75,8i,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)c(C)c3)ncc2Cl)c1,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)c(C)c3)ncc2Cl)c1,10.1016/j.bmc.2020.115680,CHEMBL4725398,1,1,1,-1
76,8o,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)c(Cl)c3)ncc2Cl)c1,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)c(Cl)c3)ncc2Cl)c1,10.1016/j.bmc.2020.115680,CHEMBL4725398,1,1,1,-1
77,8a,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)ncc2Cl)c1,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)ncc2Cl)c1,10.1016/j.bmc.2020.115680,CHEMBL4725398,1,1,1,-1
78,8p,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3Cl)ncc2Cl)c1,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3Cl)ncc2Cl)c1,10.1016/j.bmc.2020.115680,CHEMBL4725398,1,1,1,-1
79,8m,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,10.1016/j.bmc.2020.115680,CHEMBL4725398,1,1,1,-1
80,8q,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)nc3)ncc2Cl)c1,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)nc3)ncc2Cl)c1,10.1016/j.bmc.2020.115680,CHEMBL4725398,1,1,1,-1
